event_id,start_time,asset_name,timestamps (in ms),Vab,Vbc,Vca,Ia,Ib,Ic,asset_name,datetime
,,,0.014326647,-7721.94873,-1797.637451,9159.169922,-52.85731888,-226.3974609,299.9535217,Site0006,10/18/2005 23:07:40.5540
,,,0.014456889,-7411.081055,-2231.550049,9332.921875,-35.64795685,-234.9638367,295.0563049,Site0006,10/18/2005 23:07:40.5540
,,,0.014587132,-7062.909668,-2702.655029,9494.261719,-19.66783905,-243.5302277,292.6076965,Site0006,10/18/2005 23:07:40.5540
,,,0.014717374,-6677.434082,-3124.169922,9643.191406,-2.458479881,-253.3203888,287.7105103,Site0006,10/18/2005 23:07:40.5540
,,,0.014847616,-6329.262207,-3570.47998,9742.477539,12.29239941,-264.3343201,284.0375977,Site0006,10/18/2005 23:07:40.5540
,,,0.014977858,-5981.09082,-3979.597412,9804.532227,28.27251816,-271.6769409,277.9161072,Site0006,10/18/2005 23:07:40.5540
,,,0.015108101,-5583.180176,-4401.112305,9816.942383,43.02339935,-279.0195618,273.0189209,Site0006,10/18/2005 23:07:40.5540
,,,0.015238343,-5160.400391,-4847.422363,9829.353516,57.77427673,-285.1384277,266.8973999,Site0006,10/18/2005 23:07:40.5540
,,,0.015368585,-4725.186035,-5256.540039,9804.532227,72.52515411,-292.4810486,260.7759094,Site0006,10/18/2005 23:07:40.5540
,,,0.015498827,-4302.40625,-5640.862305,9816.942383,89.73451233,-299.8236694,254.6544037,Site0006,10/18/2005 23:07:40.5540
,,,0.01562907,-3805.018311,-6000.390137,9754.888672,102.0269165,-305.9425049,247.308609,Site0006,10/18/2005 23:07:40.5540
,,,0.015759312,-3382.238281,-6335.122559,9680.423828,115.5485535,-312.0613708,239.9627991,Site0006,10/18/2005 23:07:40.5540
,,,0.015889554,-2859.980957,-6620.265137,9581.137695,127.8409576,-318.1802063,232.6170044,Site0006,10/18/2005 23:07:40.5540
,,,0.016019796,-2350.158203,-6954.997559,9457.029297,137.6748657,-323.0752869,222.8226013,Site0006,10/18/2005 23:07:40.5540
,,,0.016150039,-1790.596802,-7289.72998,9320.510742,149.9672699,-329.1941223,213.0281982,Site0006,10/18/2005 23:07:40.5540
,,,0.016280281,-1342.947632,-7574.872559,9159.169922,158.5719452,-334.0892029,202.0095062,Site0006,10/18/2005 23:07:40.5540
,,,0.016410523,-845.5595703,-7835.220215,8973.008789,167.1766357,-338.9842834,192.2151031,Site0006,10/18/2005 23:07:40.5540
,,,0.016540765,-335.736908,-8107.964844,8724.791992,175.781311,-341.4318237,179.9721069,Site0006,10/18/2005 23:07:40.5540
,,,0.016671007,161.6510925,-8355.915039,8488.987305,183.1567535,-342.6556091,166.5048065,Site0006,10/18/2005 23:07:40.5540
,,,0.01680125,634.1696777,-8591.467773,8253.181641,189.302948,-342.6556091,151.8132019,Site0006,10/18/2005 23:07:40.5540
,,,0.016931492,1143.992432,-8851.81543,7992.555176,196.6783905,-343.879364,137.1215973,Site0006,10/18/2005 23:07:40.5540
,,,0.017061734,1628.945679,-9074.969727,7719.517578,204.053833,-342.6556091,121.2057037,Site0006,10/18/2005 23:07:40.5540
,,,0.017191976,2076.594971,-9223.740234,7409.247559,210.2000275,-338.9842834,104.065506,Site0006,10/18/2005 23:07:40.5540
,,,0.017322219,2524.244141,-9409.702148,7074.155762,216.3462219,-335.3129883,85.70100403,Site0006,10/18/2005 23:07:40.5540
,,,0.017452461,2984.328125,-9558.472656,6677.010254,223.7216644,-329.1941223,68.56079865,Site0006,10/18/2005 23:07:40.5540
,,,0.017582703,3407.10791,-9707.242188,6354.32959,232.326355,-321.8515015,50.19630051,Site0006,10/18/2005 23:07:40.5540
,,,0.017712945,3817.452881,-9769.230469,5982.005371,237.2433014,-313.2851257,30.60750008,Site0006,10/18/2005 23:07:40.5540
,,,0.017843188,4265.102051,-9831.217773,5609.681641,245.8479919,-304.71875,14.6916008,Site0006,10/18/2005 23:07:40.5540
,,,0.01797343,4700.316406,-9831.217773,5187.714355,253.2234344,-296.1523438,-4.897200108,Site0006,10/18/2005 23:07:40.5540
,,,0.018103672,5110.661621,-9831.217773,4765.74707,258.1403809,-285.1384277,-26.93460083,Site0006,10/18/2005 23:07:40.5540
,,,0.018233914,5521.006836,-9794.025391,4331.369141,263.0573425,-272.9007263,-46.52339935,Site0006,10/18/2005 23:07:40.5540
